ID,brand,model,year,transmission,mileage,fuelType,mpg,engineSize,tax,tax(£),price
0,vw, Golf,2020.0,Semi-Auto,1506.0,Petrol,32.8,2.0,145.0,,34495
1,audi, A3,2014.0,Manual,48037.0,Diesel,74.3,1.6,0.0,,12239
2,ford, Focus,2019.0,Automatic,7267.0,Diesel,54.3,1.5,145.0,,17000
3,toyota, Yaris,2014.0,Automatic,8290.0,Hybrid,80.7,1.5,0.0,,10499
4,ford, Focus,2014.0,Manual,45158.0,Petrol,56.5,1.0,30.0,,7490
5,hyundi, Tucson,2019.0,Semi-Auto,6650.0,Hybrid,50.4,1.6,,145.0,26990
6,merc, E Class,2014.0,Automatic,75833.0,Diesel,57.7,2.1,125.0,,11972
7,vw, Tiguan,2019.0,Manual,107.0,Petrol,40.9,1.5,145.0,,21990
8,vw, Passat,2015.0,Manual,30143.0,Diesel,70.6,1.6,20.0,,9750
9,bmw, X1,2019.0,Semi-Auto,7555.0,Petrol,40.9,1.5,145.0,,25450
10,merc, A Class,2018.0,Automatic,4582.0,Diesel,65.7,1.5,145.0,,19412
11,ford, Tourneo Custom,2019.0,Manual,29980.0,Diesel,35.3,2.0,145.0,,19997
12,audi, A7,2019.0,Semi-Auto,13503.0,Diesel,47.1,2.0,150.0,,31990
13,merc, C Class,2016.0,Automatic,72681.0,Hybrid,134.5,2.0,0.0,,15495
14,toyota, C-HR,2018.0,Automatic,22918.0,Hybrid,74.3,1.8,135.0,,17990
15,vw, Golf,2020.0,Automatic,1007.0,Hybrid,141.3,1.4,135.0,,29999
16,ford, Focus,2016.0,Manual,18915.0,Petrol,60.1,1.0,20.0,,10420
17,toyota, Verso,2013.0,Semi-Auto,28296.0,Petrol,41.5,1.8,205.0,,9790
18,merc, A Class,2019.0,Automatic,12009.0,Diesel,,1.5,145.0,,24451
19,toyota, Auris,2017.0,Manual,24398.0,Petrol,58.9,1.2,30.0,,9995
20,vw, Caddy Maxi Life,2018.0,Semi-Auto,3968.0,Diesel,56.5,2.0,145.0,,20990
21,ford, Focus,2018.0,Manual,11155.0,Petrol,57.7,1.0,145.0,,13597
22,ford, Fiesta,2018.0,Manual,9277.0,Diesel,88.3,1.5,145.0,,14350
23,audi, A4,2020.0,Semi-Auto,2001.0,Diesel,49.6,2.0,145.0,,32995
24,ford, S-MAX,2008.0,Automatic,106007.0,Petrol,29.1,2.3,555.0,,4890
25,ford, Fiesta,2016.0,Manual,24439.0,Petrol,54.3,1.2,125.0,,7851
26,audi, Q3,2019.0,Manual,2692.0,Diesel,42.8,2.0,145.0,,28490
27,audi, Q5,2013.0,Semi-Auto,76867.0,Diesel,47.1,2.0,205.0,,14247
28,hyundi, Tucson,2019.0,Manual,5504.0,Diesel,45.6,1.6,,145.0,24969
29,hyundi, Tucson,2017.0,Manual,41346.0,Diesel,61.7,1.7,,30.0,12798
30,vw, Polo,2019.0,Manual,10138.0,Petrol,52.3,1.0,145.0,,13650
31,ford, Focus,2018.0,Manual,16006.0,Petrol,41.5,2.0,145.0,,19690
32,toyota, Yaris,2014.0,Automatic,56309.0,Hybrid,76.3,1.5,0.0,,8998
33,hyundi, I30,2017.0,Manual,52592.0,Diesel,74.3,1.6,,145.0,9298
34,vw, Passat,2016.0,Manual,56604.0,Diesel,67.3,2.0,20.0,,10998
35,ford, Fiesta,2019.0,Manual,9328.0,Petrol,58.9,1.0,145.0,,14320
36,ford, Focus,2019.0,Manual,13046.0,Petrol,60.1,1.0,145.0,,16998
37,vw, Touareg,2016.0,Automatic,21203.0,Diesel,42.8,3.0,235.0,,25495
38,vw, Golf,2017.0,Semi-Auto,19166.0,Petrol,65.7,1.0,0.0,,13995
39,audi, Q3,2012.0,Manual,54086.0,Diesel,49.6,2.0,160.0,,11000
40,skoda, Kodiaq,2017.0,Automatic,16180.0,Petrol,39.8,1.4,150.0,,21700
41,audi, A3,2020.0,Semi-Auto,3008.0,Petrol,34.9,2.0,145.0,,35000
